OC,soil_types,tem,tp,pm,st,slope,twi,lc_1,ele,NDVI
15.8,88,290.6071167,1.61E-08,4200,2,0.826288342,24.9622345,19,46.54964828,0.379999995
6.2,116,289.8326416,1.53E-08,4110,2,1.589959025,12.28377724,21,208.0354462,0.331999987
25.8,116,290.0841675,1.64E-08,4110,2,5.661493778,9.219032288,21,329.058136,0.428000003
44.8,116,290.1686401,1.59E-08,4110,2,1.558631897,11.20507431,21,238.0540009,0.363999993
2.4,116,290.2970276,1.58E-08,4110,2,0.735393703,25.07878685,21,233.9475861,0.407999992
25.7,116,290.5395203,1.54E-08,4110,2,1.027437329,24.74431801,28,203.743866,0.284000009
16.2,116,290.6570435,1.47E-08,4110,2,2.142713785,10.19344234,21,109.6694946,0.331999987
23.6,116,290.8131714,1.47E-08,4110,2,0.980384946,24.79120445,21,137.0148621,0.284000009
7.3,86,291.1765137,1.63E-08,7200,1,0.379957676,25.73917389,24,52.33619308,0.388000011
4.8,31,291.4216919,1.63E-08,2140,4,0.506464899,25.45176697,12,65.82531738,0.291999996
3.9,86,291.2680054,1.56E-08,7200,1,0.34466362,25.83666801,23,79.40467834,0.328000009
8.3,31,291.5842896,1.62E-08,5400,3,0.317236364,12.79722691,13,18.37649918,0.280000001
11.6,31,291.367157,1.69E-08,2140,4,0.97001797,11.67947483,17,74.37606812,0.296000004
5,86,291.2614136,1.66E-08,7200,1,0.59056592,11.48262119,13,76.13803864,0.291999996
6.6,86,291.2565918,1.72E-08,7200,1,0.51721257,13.91784191,12,107.0867538,0.287999988
6.2,126,291.5532837,1.77E-08,2140,4,0.551040649,13.34365749,12,79.6202774,0.280000001
9.2,31,291.2935486,1.78E-08,2140,4,0.943179846,24.82990074,17,95.76628876,0.356000006
12,126,291.5270996,1.77E-08,2140,4,0.661429644,12.97872734,12,69.84641266,0.228
3,47,291.5873108,1.75E-08,5400,2,0.360964954,25.79045486,24,20.23851967,0.360000014
6.3,126,291.7338257,1.72E-08,2140,4,0.404848009,11.86020947,12,48.68689728,0.25999999
7.6,31,291.674469,1.74E-08,2110,2,0.461489201,15.06146145,17,20.26909637,0.291999996
9.3,31,291.5732117,1.70E-08,2140,4,0.489322782,15.03798676,17,77.79654694,0.284000009
11.6,47,291.6560974,1.73E-08,5400,2,0.883694947,24.89505768,2,44.62882996,0.331999987
11,47,291.7806702,1.74E-08,5400,2,0.082161739,27.2705574,13,5.260603428,0.56400001
13.1,128,291.8002319,1.70E-08,2140,4,0.079626702,15.68361187,3,4.33698225,0.588
11,128,291.8707581,1.68E-08,2140,4,0.049895819,15.89971066,18,7.740488052,0.592000008
9.5,13,291.8062134,1.70E-08,1000,1,0.368379056,25.77012253,16,18.85061836,0.39199999
10.8,31,291.8410339,1.66E-08,2110,2,0.666467965,12.05484772,13,31.38519478,0.30399999
5.2,13,291.9490662,1.64E-08,1000,1,0.292917579,15.36189175,12,28.44091797,0.316000015
10.2,13,291.8432312,1.67E-08,1000,1,0.406506598,14.62870979,13,51.8693924,0.284000009
15.5,128,291.550354,1.73E-08,2140,4,0.944663346,24.82832909,13,95.53479004,0.284000009
16.9,128,291.7373047,1.70E-08,2140,4,0.327350944,14.26991844,13,50.00572586,0.239999995
7.3,126,291.8831177,1.68E-08,2140,4,1.935264349,11.39397049,13,56.69498444,0.284000009
10.5,128,291.8981934,1.65E-08,2140,4,0.199228331,26.38479233,13,52.00074387,0.307999998
11.2,128,291.8293152,1.63E-08,2140,4,0.427702338,25.62080193,13,94.83493805,0.25999999
5.1,13,291.6567078,1.74E-08,1000,1,0.279145181,26.04750824,13,94.5136261,0.307999998
10.6,31,291.4517212,1.71E-08,2140,4,0.313083857,25.93276787,13,156.1841431,0.239999995
13.7,128,291.8400269,1.61E-08,2140,4,0.138015673,13.62951565,13,88.2375946,0.275999993
12.7,128,291.644989,1.66E-08,2140,4,0.676030576,25.16296387,13,116.1522217,0.324000001
7.8,128,291.8037415,1.58E-08,2140,4,0.167763501,26.55669022,13,67.2437973,0.300000012
10.2,128,291.9024963,1.66E-08,2140,4,0.052981224,17.11267471,13,62.29158783,0.356000006
9.7,128,291.7133789,1.58E-08,2140,4,0.34642911,25.83155823,13,101.1783371,0.275999993
10.7,13,291.372467,1.72E-08,1000,1,0.626952112,25.23833847,13,145.4199982,0.252000004
12.6,128,291.8044128,1.63E-08,2140,4,0.831516445,24.9559269,13,80.30361938,0.34799999
18,31,291.2862244,1.59E-08,2140,4,1.606857181,24.29695129,13,194.2737579,0.228
8,128,291.7105408,1.55E-08,2140,4,0.999997973,15.48848248,13,79.72631836,0.211999997
10.8,128,291.7750244,1.60E-08,2140,4,0.212733015,14.29545498,13,77.41120911,0.263999999
14.3,128,291.3537903,1.59E-08,2140,4,1.003383517,13.2550869,12,167.4575958,0.296000004
9.4,126,291.7770996,1.64E-08,2140,4,0.449896902,25.5702095,13,79.1052475,0.268000007
8.4,128,291.79953,1.60E-08,2140,4,0.119381048,20.33700752,13,73.26883698,0.492000014
5.7,128,291.519989,1.52E-08,2140,4,0.781249523,12.99454021,13,127.4030228,0.275999993
14.5,13,291.5191956,1.64E-08,1000,1,1.389330387,10.62696457,13,141.5319824,0.280000001
14.4,126,291.4627686,1.62E-08,2140,4,0.813428462,24.97792244,13,163.7928772,0.34799999
13.2,31,290.9942932,1.52E-08,2140,4,1.46034646,24.39260292,17,238.4319,0.236000001
11.3,31,291.4639893,1.48E-08,2110,2,0.354363114,13.60284042,13,162.9966431,0.247999996
15.6,128,291.5219727,1.52E-08,2140,4,0.285901427,26.023592,13,144.0990143,0.247999996
7.3,31,291.4733887,1.61E-08,2110,2,1.03019309,24.74163818,13,157.4416962,0.236000001
14.1,13,291.4877319,1.50E-08,1000,1,0.371007621,11.94750118,13,153.9600525,0.231999993
16,13,291.4676514,1.60E-08,1000,1,0.705996752,11.30407619,13,147.6572723,0.239999995
7.2,31,290.2061462,1.61E-08,2140,4,1.692679405,12.221138,12,309.5398254,0.203999996
11.7,128,291.2921448,1.62E-08,2140,4,0.26876685,26.08539581,17,183.2637024,0.331999987
7.4,31,291.0464172,1.61E-08,2140,4,1.724393249,24.22631645,13,288.5419312,0.25999999
16.8,31,291.4739685,1.55E-08,2110,2,0.587238967,12.58688259,13,156.3957672,0.256000012
9.5,31,289.4334717,1.75E-08,2110,2,2.166108131,10.18257332,17,402.032959,0.239999995
13.8,13,291.5090942,1.62E-08,1000,1,0.088380896,19.79060936,13,143.9647675,0.467999995
12.5,13,291.2194519,1.59E-08,1000,1,0.640126288,25.21754074,17,182.0804291,0.224000007
18.8,31,290.1611633,1.58E-08,2140,4,1.783137679,13.14987373,17,354.4179382,0.268000007
12.3,31,291.147644,1.59E-08,2110,2,0.551126242,13.85432816,13,190.9710541,0.224000007
8.2,31,288.8111572,1.80E-08,2110,2,0.862543344,11.79692364,12,504.0247498,0.208000004
11.6,31,289.3822632,1.68E-08,2110,2,1.696549654,10.42709351,17,465.6500854,0.256000012
8.2,31,290.8933105,1.60E-08,2110,2,0.68027705,25.15670013,12,252.7939758,0.256000012
10.5,126,291.3929138,1.67E-08,2140,4,2.005067825,11.35850811,13,142.9982605,0.407999992
8.6,31,289.0050049,1.75E-08,2110,2,0.553030968,13.74551678,17,471.7019958,0.244000003
16.1,128,291.2670593,1.66E-08,2140,4,1.574457645,24.31732941,20,166.7236786,0.296000004
7.2,31,291.0335999,1.62E-08,2140,4,0.698815286,15.12096405,17,218.4857941,0.291999996
7.8,31,289.3787842,1.67E-08,2110,2,0.531257212,16.56519699,17,408.3898621,0.268000007
15.2,31,289.6793518,1.66E-08,2110,2,0.76156193,15.44781494,17,412.5427856,0.247999996
11,31,290.9708557,1.65E-08,2110,2,1.673956513,11.53911972,12,223.7452545,0.300000012
10.8,31,290.9455872,1.70E-08,2110,2,0.398492873,13.48546982,12,232.8179169,0.275999993
13.3,31,287.5097351,1.88E-08,2140,4,3.813944817,23.43135071,17,825.3074341,0.296000004
14.7,31,287.5715332,2.04E-08,2140,4,6.761726379,22.85555649,17,832.0903931,0.231999993
13.3,31,290.722229,1.60E-08,2110,2,0.956735492,16.34722519,17,290.8814087,0.252000004
10.8,47,289.3233032,1.69E-08,5400,2,0.760718703,25.04492569,17,438.8884277,0.247999996
17,31,289.2869873,1.67E-08,2110,2,0.54464829,25.37907791,17,474.9030762,0.244000003
9.2,31,290.5793152,1.79E-08,2140,4,1.044216752,13.31050014,17,297.1912842,0.268000007
11.3,31,289.4569397,1.71E-08,2110,2,0.674995184,13.83389282,12,417.141449,0.252000004
22.2,31,289.37677,1.70E-08,2110,2,1.114218712,10.84770298,17,466.1625061,0.256000012
11.7,31,289.6738586,1.73E-08,2110,2,0.538317084,25.39076996,17,452.2532043,0.239999995
31.3,31,290.0108032,1.81E-08,2140,4,2.336953878,23.92209053,17,405.4277649,0.316000015
11.8,31,287.8717957,1.89E-08,2140,4,3.759731293,23.44570923,17,808.0916138,0.275999993
17.4,31,288.8886414,1.89E-08,2140,4,2.455846786,11.15550995,17,569.1791992,0.344000012
11,31,288.249115,1.90E-08,2140,3,2.247117519,10.14582157,17,731.7838135,0.287999988
8.5,31,289.2216797,1.79E-08,2140,4,5.424355507,23.07760048,17,622.9194946,0.307999998
10.4,31,289.0369263,1.81E-08,2140,4,2.126854897,13.09125042,17,585.579895,0.300000012
10.2,31,288.3420105,1.96E-08,2140,4,1.33227241,12.46067524,17,638.5599976,0.312000006
8.9,31,286.7073975,1.95E-08,2140,4,2.230723381,23.96866226,21,977.737854,0.363999993
25.2,31,287.6192932,2.03E-08,2140,4,2.495535135,10.73399353,17,774.4698486,0.244000003
22.4,31,287.1065979,2.01E-08,2110,2,2.368715048,23.90857506,17,944.562561,0.328000009
7.5,31,286.6907654,1.93E-08,2140,4,4.965965271,23.16637611,17,1090.003906,0.331999987
9,31,288.7106323,1.64E-08,2140,4,0.45111084,14.8874979,17,585.100769,0.263999999
9.4,31,286.8185425,2.00E-08,2140,4,5.17288208,23.12534142,17,1064.010742,0.340000004
11.1,31,288.3594971,1.77E-08,2140,4,1.850960135,10.33992958,17,649.1633301,0.263999999
10.5,31,287.6400452,1.93E-08,2140,3,2.257706881,10.14111519,12,869.2417603,0.184
17.9,47,288.5193176,1.68E-08,5400,2,2.210790873,23.97764587,24,700.6201172,0.30399999
15.7,83,288.5081177,1.56E-08,2110,3,2.332036972,12.88127613,17,677.8031006,0.331999987
2.9,31,287.3629456,1.77E-08,2140,4,2.168481588,11.56777191,17,891.9424438,0.319999993
8.8,31,288.4724731,1.84E-08,2140,3,0.712887287,15.46875,17,736.0853882,0.187999994
5.7,31,287.100769,1.74E-08,2140,4,2.085653067,24.03596878,17,1019.730835,0.30399999
10.5,31,288.388092,1.89E-08,2140,4,0.911345661,13.44662666,16,774.272583,0.184
10.9,83,286.0257874,1.85E-08,2110,3,2.633679628,23.80240631,28,1324.040527,0.463999987
12.9,31,288.6569214,1.57E-08,2140,4,1.815636992,10.35921097,12,685.2706909,0.312000006
9.9,83,286.8310547,1.83E-08,2110,3,3.683377504,23.4662838,17,1142.792969,0.344000012
5.9,31,288.5475159,1.56E-08,2140,4,1.946885586,10.28936672,17,724.4925537,0.316000015
10.5,83,286.9942322,1.83E-08,2110,3,2.227361202,12.63956738,17,1003.626892,0.307999998
13.5,83,286.4674377,1.87E-08,2110,3,4.039376736,23.37374306,28,1246.422729,0.363999993
92.6,31,286.8656311,1.94E-08,2140,4,6.011084557,22.97420883,24,1085.068237,0.416000009
9.1,31,287.1585693,1.77E-08,2140,4,1.576830745,24.3158226,17,1023.880188,0.284000009
9.7,31,287.004425,1.76E-08,2140,4,2.188714504,23.98769188,17,1012.47229,0.287999988
40.1,31,284.8768311,2.02E-08,2110,2,5.186746597,23.12265015,28,1484.801514,0.316000015
13.5,31,286.9670715,1.76E-08,2140,4,1.332693934,24.48410988,12,1018.305725,0.247999996
14.2,31,286.6730957,1.76E-08,2140,4,0.502963781,25.45870399,12,1083.545776,0.252000004
90.2,83,286.8982849,1.78E-08,2110,3,6.000938892,10.54669476,28,1099.908447,0.388000011
96.8,31,286.0551758,1.87E-08,2110,2,3.468267202,10.80971718,28,1409.744873,0.451999992
11,31,286.9546509,1.71E-08,2140,4,3.673084021,9.653579712,17,1007.798889,0.284000009
81.1,31,286.5465698,1.71E-08,2140,4,2.788204432,9.929794312,12,1124.167358,0.224000007
27.6,31,286.6639404,1.76E-08,2140,4,3.957270861,9.578835487,17,1069.260986,0.224000007
6,83,286.3483582,1.86E-08,2110,3,5.856563091,9.18492794,12,1199.66394,0.236000001
13.5,31,286.4633484,1.96E-08,2140,3,3.25327301,11.85468674,25,1167.073608,0.284000009
14.1,31,286.6969299,1.75E-08,2140,4,3.902865648,10.2858696,23,1080.522095,0.200000003
28.3,34,283.5262756,2.10E-08,4110,2,11.43962574,8.505486488,24,1926.239014,0.671999991
3.2,31,286.9679565,1.61E-08,2140,4,0.642532468,25.21378899,12,1032.261963,0.192000002
9.9,83,287.276947,1.73E-08,2110,3,0.774604023,25.02683449,12,1020.905823,0.224000007
13.6,31,287.2301636,1.58E-08,2140,4,0.391572148,25.70906258,12,1017.502258,0.195999995
15.8,31,286.8087769,1.53E-08,2140,4,1.280374169,24.52417374,12,1094.437866,0.187999994
8,47,285.3381653,1.89E-08,5400,2,7.9842062,22.6875248,23,1361.957886,0.296000004
10.1,47,287.1446838,1.64E-08,5400,2,1.967999935,10.27857113,26,990.7299805,0.216000006
6.6,31,285.9671326,1.81E-08,5400,2,3.216161489,10.47988987,16,1219.604004,0.175999999
14.2,31,286.2830505,1.77E-08,5400,2,1.691215396,10.43024445,12,1154.555908,0.175999999
5.1,31,287.0572815,1.42E-08,5400,2,1.0776968,11.9796505,12,1013.578979,0.180000007
22.2,31,286.4822388,1.78E-08,5400,2,0.902661979,13.13774776,13,1102.461792,0.148000002
14.3,31,285.7733765,1.75E-08,2140,4,2.605871677,23.81303596,12,1259.151611,0.187999994
12.4,31,286.9970703,1.37E-08,5400,2,3.77594924,23.44139099,12,1011.760071,0.224000007
10.4,31,286.3215027,1.76E-08,5400,2,0.846500456,24.93806458,13,1118.431396,0.159999996
21.4,31,286.083374,1.80E-08,5400,2,1.991578817,12.0584116,12,1182.70752,0.167999998
19.9,31,286.3455811,1.50E-08,5400,2,0.505318165,16.32065392,12,1129.892822,0.208000004
12.1,31,286.1764832,1.75E-08,5400,2,2.0579319,10.23385048,13,1150.385986,0.184
16.6,31,286.7715454,1.38E-08,5400,2,2.118788719,24.0201931,16,1052.593872,0.211999997
12.2,34,285.8209534,1.78E-08,4110,2,3.220917463,12.35021114,21,1239.977661,0.180000007
33.9,31,285.9449768,1.49E-08,5400,2,2.888994455,23.70973587,16,1178.198853,0.216000006
21.7,31,285.4561462,1.58E-08,2110,2,2.229522705,11.94544888,16,1288.377319,0.208000004
3.9,31,286.7537537,1.63E-08,5400,2,2.655126572,23.79428482,28,1075.209229,0.175999999
39.9,31,286.4038696,1.39E-08,5400,2,1.665904045,14.33715248,12,1120.170044,0.236000001
4.9,31,287.0656433,1.59E-08,5400,2,3.750346422,13.46134567,21,1046.789795,0.203999996
6.3,34,286.0381165,1.62E-08,4110,2,6.866611481,22.84001923,21,1215.734985,0.219999999
8,34,286.1569824,1.65E-08,4110,2,6.673802853,9.74640274,26,1256.928589,0.280000001
10.5,77,284.4467468,1.71E-08,3110,1,11.10048866,8.536370277,28,1498.69458,0.451999992
40.4,31,287.2451477,1.23E-08,2110,2,4.243831158,23.32419586,17,988.3753052,0.195999995
5.5,34,285.4588318,1.58E-08,4110,2,4.256927013,23.32110214,24,1383.26709,0.388000011
12.7,34,284.9964294,1.66E-08,4110,2,4.605363369,23.24211502,25,1458.244263,0.379999995
3.9,31,287.8521423,1.12E-08,2140,3,1.620574236,11.57154751,12,838.5487061,0.151999995
11.4,34,285.2771606,1.69E-08,4110,2,4.411396027,9.469812393,28,1365.296509,0.324000001
21.9,77,286.3332214,1.52E-08,3110,1,3.768146515,23.44346619,24,1160.778442,0.379999995
4,77,286.6716614,1.40E-08,3110,1,1.539782286,24.33961105,12,1020.895996,0.151999995
9.3,47,288.3710327,1.27E-08,5400,2,2.920467854,9.883372307,16,821.890564,0.156000003
10.8,31,286.7799377,1.33E-08,2140,4,1.781903982,10.37797737,12,1060.823853,0.195999995
9.1,34,286.4176025,1.58E-08,4110,2,5.592561245,23.04687309,24,1174.440308,0.280000001
12.1,31,286.7912292,1.28E-08,2140,4,2.15043807,10.88298798,12,1079.44812,0.180000007
9.5,77,285.8554993,1.70E-08,3110,1,14.92963219,22.04514694,29,1475.973999,0.319999993
13.7,34,285.0795593,1.88E-08,4110,2,4.900436401,12.73151112,28,1251.755493,0.404000014
7.2,34,286.5793762,1.28E-08,4110,2,1.719665527,12.97850132,22,1175.764038,0.228
30.9,76,286.3681641,1.65E-08,2110,2,13.75321865,22.13075066,28,1106.81311,0.331999987
4.3,31,286.8721619,1.39E-08,2110,2,4.982180595,11.65017509,24,1110.109009,0.236000001
30.9,31,286.7923279,1.46E-08,2110,2,3.5396626,23.50618744,24,1091.451782,0.363999993
9,34,289.5297241,1.20E-08,4110,2,1.544891,10.52078629,16,558.1981812,0.208000004
19.1,77,289.024353,1.37E-08,3110,1,4.105790615,23.35737991,28,580.050415,0.247999996
5.3,31,289.0935364,1.17E-08,2140,2,3.640485048,12.43510723,16,626.2389526,0.192000002
7.5,28,291.708374,8.20E-09,1211,3,0.757291555,11.92707825,20,48.72294617,0.167999998
9.9,28,290.6880493,9.31E-09,2140,2,0.996208727,12.75143909,13,281.2904663,0.216000006
8.5,108,289.4219971,1.79E-08,5311,1,0.77011776,25.03264427,20,74.81288147,0.479999989
53.6,116,289.4187317,1.79E-08,4110,2,1.755429268,11.08610344,23,59.37203598,0.479999989
20.7,90,289.3684387,1.79E-08,1000,1,0.11405696,26.94254875,12,158.9755096,0.356000006
15.5,115,289.3852844,1.75E-08,4110,2,1.136882424,10.82756138,23,127.4261017,0.448000014
10.3,126,289.6088867,1.57E-08,3210,4,0.625708163,11.42481422,17,161.2717285,0.460000008
9.7,102,289.71875,1.53E-08,1310,1,0.209558293,26.33424187,19,161.7307281,0.272000015
